;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
World;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;18272864;18652852;19033048;19356457;19831286;20141315;20440189;20755696;21128086;21474401;21778647;22106852;22388684;22803082;23226043;23511525;23892276;24265216;24800230;26065154;26427730;26657268;27535459;27651028;27989716;28295123;28340240;28632819;28925701;28948677;28683910;28921763;29260095;29252023;29500838;29656331;29514042;29561753;29501845;29508010;29330918;29273677;29599080;29569063;29270432;29068418;29380238;29319707;29558525;..
World;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;5544771;5327578;5169911;5037698;5095064;5090865;5328374;5369381;5526924;5277628;5324326;5429944;5421108;5614091;6228164;6182065;6374330;6441754;6073220;6409619;6078275;5496667;5407355;4750340;4754877;3794339;4236118;3368048;3290608;3223511;3207615;3097196;3132879;3322115;3285836;3393996;3273331;3252910;3210426;3221723;3207778;3246762;3167131;3160411;3198366;3148813;3257611;2879518;2530470;..
World;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;8927312;9460488;9686601;8931662;9024212;9613937;9507891;9728891;9208761;8300892;7836238;7633254;7554973;7821143;8368025;8473455;8494060;8516130;8452241;8222463;8360119;8581116;8689036;8587604;8920891;9331194;9328197;9158857;9404702;9511990;9646103;9352323;9430935;9568384;9614822;9316003;8929776;8983809;8693028;8694484;8364170;8246105;8425720;8323090;8574705;8705914;9037572;9055402;8933235;..
World;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;4015282;4458919;4735401;4844061;6155527;5636403;5991572;6382830;6637797;8444931;8833591;9262383;9892086;10524550;11178430;11560015;12095375;12455539;12790490;11169596;11485350;11675871;15759794;15829469;16076248;16256742;16384987;16859863;17235328;17686403;18248453;18515118;19144586;19623183;19766442;20270805;20883914;21285571;21717583;22999213;23351966;23922772;24657544;24919537;25383596;26039827;26571787;27949304;28236323;..
OECD Americas;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;198903;160479;157663;134474;109870;109973;110335;101705;86911;77377;78473;84817;85575;91766;80811;80440;74668;74790;65850;71769;86014;86838;87560;83919;81564;80809;119319;79854;79163;61021;56987;4533;4455;4292;4970;6306;4447;4263;4962;3814;4074;3995;3740;4008;3031;3025;3049;2905;2966;..
OECD Americas;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18907;23232;0;0;0;0;0;0;0;0;0;..
OECD Americas;Oil products;..;..;..;..;..;..;..;..;..;..;..;3680361;3843573;3702657;3418869;3330888;3636702;3543885;3423609;2793799;2419258;2136387;2002336;1856198;1944307;1865170;1887492;1930863;2012535;2043354;1638740;1622863;1689208;1785843;1751422;1751852;1844331;1815875;1687351;1781577;1870789;1836613;1755724;1811863;1756843;1689824;1497990;1541734;1437959;1374848;1330898;1170007;1032008;1082967;1031956;1037414;971670;973263;1011875;978090;..
OECD Americas;Natural gas;..;..;..;..;..;..;..;..;..;..;..;5112117;5274548;5000011;4947142;5072126;5205821;4987185;5113616;5195010;5014724;4823078;4964286;4717458;4910903;4826847;4684027;4671362;5017410;5205019;4813774;4985907;5139545;5409681;5337323;5339568;5778398;5481495;4988996;5204718;5498122;5267668;5412562;5648275;5402917;5375105;4909048;5323395;5483120;5330590;5282979;5274116;4693904;5472202;5723167;5250587;4954645;5061736;5669311;5696000;..
