;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
World;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;3308060;3424735;3575715;3670221;3532729;3747005;3880237;3998333;4023010;4083495;4208958;4350959;4599092;5092935;5003338;5103060;5413482;5418948;3877745;4210536;4231568;4389168;4280472;4530747;4842069;4985254;5245990;5429850;6367258;6434686;6279897;6266684;6488789;6864754;7077738;7510970;7644194;7605459;7413641;7721224;7771154;7937646;8312576;8373564;8789867;8794296;8996467;9302666;9414049;..
World;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;14506620;14650479;14897948;14772553;15072241;15182952;15945676;16732794;17248603;17433240;17494874;17168972;17350220;18535114;18317793;18250339;18890334;19687564;19495427;19107695;18780000;18125336;18027258;18174700;19391863;18445366;18145982;18472283;16544449;16712156;17070161;17357068;19243915;22867250;27288370;28911287;30827430;32214907;33276913;36242305;38436218;38324889;37987052;38275662;37205219;34882859;33646232;32774083;32570854;..
World;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;17041346;17704183;18827586;18705662;17782295;19015677;20349007;20195072;21551162;19887935;17941706;17403163;16069485;15538596;15190482;15312534;15469470;15416146;15338810;13876339;13756936;13332415;13064688;13072729;12753906;12774893;13063132;12817277;12899647;13430951;13523917;13342770;13232619;13892860;13696130;13948318;13810909;13304182;12562420;13450198;12269918;12346891;12300287;11984570;12479072;12364439;12269974;12077354;12272893;..
World;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;10487341;11185509;12008813;12429270;12387364;13547927;14064168;14712786;15375336;14901794;15144670;14773386;15285114;16280633;16608214;17492081;17621320;18415156;18977726;22719760;23164149;23074247;22922829;22201426;22169203;21774921;21885665;21803628;22355681;23696086;23744743;23873550;24917679;26169756;27402331;28935657;30397493;30173350;29138419;32054592;33781323;34699066;35316213;36372898;35963646;37132717;38525204;40025283;40540487;..
OECD Americas;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;2851289;2864145;2842164;2683458;2404441;2350380;2469604;2536114;2551392;2326932;2451507;2027935;2123536;2309319;2309538;2223385;2172728;2247221;2136793;2167971;2147028;1573280;1472820;1480763;1417258;1383659;1465538;1467968;1515495;1555680;1557630;1491523;1575597;1637042;1551455;1656691;1549829;1548699;1191329;1427573;1427386;1205331;1279721;1216473;1154129;988419;1049736;1004714;935660;..
OECD Americas;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;6759;5027;5365;5745;3887;2957;2070;1690;2492;5323;7393;6759;9252;17067;18672;20489;22136;24460;24798;27206;26783;29614;28558;32782;32951;35232;39922;35106;24291;11998;4351;4309;5112;7858;4943;4562;4562;4562;6689;15711;0;0;591;422;380;380;398;421;445;..
OECD Americas;Oil products;..;..;..;..;..;..;..;..;..;..;..;3418038;3710237;3860549;3655464;3214296;3627466;4554340;4014252;5025185;4579076;3978869;3861651;2904599;3114905;3366278;3406952;3371316;3212666;3181354;2535210;2289078;2412571;2452240;2490569;1768151;1868266;1760999;1726960;1540072;1794127;2036319;1876370;1848660;2127208;2159695;2174595;2039355;2015999;1783081;1878929;1485132;1474944;1485946;1387487;1492381;1560371;1470944;1494873;1383071;..
OECD Americas;Natural gas;..;..;..;..;..;..;..;..;..;..;..;7603300;7615023;8193931;7907626;6667115;6731522;6691035;6689643;6894679;7485313;7523718;6276736;6137461;6690572;6389528;5980667;6365196;6829815;6361430;5794389;5530207;5477169;5674505;5793254;5953504;6115811;6559884;6486054;6254187;7117710;6348613;6043165;5860795;5954099;5316867;5443495;5543373;5522112;4908396;5741564;5878734;6136564;6107405;6272429;6300792;6572470;6550111;6814203;6796451;..
