;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
World;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;3195398;3250631;3309476;3400192;3374886;3438149;3479095;3590520;3693436;3731448;3576305;3527160;3418030;3485243;3469444;3352025;3352418;3377112;3283972;2157683;2103209;1247564;1007763;928041;879330;1133830;885422;798302;796229;647693;679586;789570;863684;949693;1058993;1093731;1151586;1400334;1429469;1359915;1425480;1496201;1491209;1426852;1455868;1415152;1388824;1141077;1115261;..
World;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;5355680;5797864;6000171;5491848;5120042;5679983;5612068;5864823;5476887;4915675;4546100;4240964;4309334;4374636;3865180;3979136;3919856;4038822;3848760;3929144;3966218;4122312;4267429;4241661;4295078;4517258;4405359;4189269;4506692;4108581;4257101;4155353;4211936;4239546;4116183;3854205;3774162;3713035;3588735;3651516;3507107;3362283;3482942;3293149;3429833;3507272;3463776;3284656;3154854;..
World;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;2342699;2564784;2841079;2972922;3659809;3642227;3845047;4020649;4168090;4544346;4759365;5031374;5346710;5644521;6030214;6354390;6701598;6984507;7312451;7429268;7751101;7938468;8817657;9341095;9565185;10060896;10373817;10896025;11359961;11825181;12079022;12372357;12815970;13347220;14249934;14766139;15481252;16004939;16060408;16664100;16649533;17082097;17479314;17623181;17981192;18464196;18836519;19327192;19556591;..
OECD Americas;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;215767;161998;143989;157539;133601;116757;116932;135204;123918;77850;109802;122554;125539;135319;115619;114139;104198;106932;92247;101573;105519;49734;49002;47553;46158;65312;44539;38091;38190;38028;48900;91931;83672;104621;88527;64823;72002;73157;67007;63470;54713;38091;32333;36100;28463;22620;19715;17827;15822;..
OECD Americas;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;42;465;465;507;253;211;211;169;169;211;211;211;211;211;211;211;127;0;0;0;0;0;0;0;0;0;3497;4939;0;0;0;0;0;0;0;0;0;..
OECD Americas;Oil products;..;..;..;..;..;..;..;..;..;..;..;2494071;2553637;2336330;2147035;1979572;2293882;2275295;2164482;1858970;1604243;1387720;1361872;1422583;1438579;1363937;1297685;1337408;1319734;1224231;961125;880174;898548;882711;862535;810932;822575;762560;716700;697064;845696;862835;846116;923140;953951;872385;789872;770975;727411;800734;790273;712150;613477;603748;564990;642092;713368;627899;619857;627429;..
OECD Americas;Natural gas;..;..;..;..;..;..;..;..;..;..;..;2661747;2792077;2756328;2753855;2707387;2880338;2740705;2821148;3013075;2836842;2772660;2894922;2729135;2832321;2767239;2637513;2674049;2943978;3018573;2915200;3036219;3121036;3190960;3213464;3353555;3496703;3555293;3324920;3386649;3529670;3376689;3520261;3567040;3483942;3354080;3172782;3367833;3509282;3480847;3436266;3497750;3205739;3615703;3832429;3564377;3547454;3651810;4065222;4071577;..
OECD Americas;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
