;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
World;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;37724303;40150982;42735334;42424338;43704904;45714735;47441601;49626712;50444846;49825537;49639181;49300915;49928843;51374940;52447195;54468647;56400498;59070294;60805503;62081449;62609541;64090506;64732255;66183719;68081843;70952481;72224209;73831771;76039386;78577398;79000288;80971585;82517059;86274996;88075261;90095811;92716182;92580954;90974214;94577675;95934949;96850150;99334909;101018130;104222341;106135844;108725997;110315268;110471587;..
World;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;406649;425804;443617;458766;499180;496544;513328;526428;551236;580421;580597;585720;598162;622267;646870;663631;680746;702976;716666;875155;854246;820004;781559;758937;755272;771820;769946;755078;761021;785355;801685;839576;892052;919757;935794;963142;1005628;996957;997083;1063355;1131652;1149659;1176296;1192384;1209683;1276442;1335998;1436268;1510371;..
OECD Americas;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;12729;9081;10750;8535;6744;5607;3517;2834;2494;2351;1953;760;193;54;110;82;82;82;109;54;0;27;54;54;27;27;27;27;27;27;27;27;27;27;27;0;0;0;27;27;0;27;0;0;0;0;0;0;0;..
OECD Americas;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1109;1334;0;0;0;0;0;0;0;0;0;..
OECD Americas;Oil products;..;..;..;..;..;..;..;..;..;..;..;16695182;17786947;18712833;18475651;18836504;19749154;20380095;21194531;20923905;20161175;20180951;19873348;20054042;20638082;20836708;21174798;21867478;22809417;23097575;22967465;22667817;23174668;23542038;24384159;24796470;25435750;25894232;26602094;27300157;27799177;27853686;28288144;28834330;29362955;29756023;29818066;30030029;28705584;27440769;28324926;27715903;27243822;27888375;27860030;28762757;29027278;29208176;29670489;29558427;..
OECD Americas;Natural gas;..;..;..;..;..;..;..;..;..;..;..;726354;746547;705351;649778;564698;530626;515965;517216;663874;686156;697568;647328;526243;579797;574271;544701;594631;711923;734845;767399;725008;751901;795944;865442;899802;918278;961449;851131;859935;837659;809859;862556;764324;731259;784971;783255;796601;816819;748056;810139;819713;866054;990510;894659;873598;906002;915135;1069670;1160498;..
OECD Americas;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92341;103389;110906;79555;100740;115809;120866;139034;146069;173967;235973;295415;346061;486370;637004;860763;976109;1042436;1156807;1402369;1550582;1566551;1572608;1684773;1709205;1689395;1692839;..
OECD Americas;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Electricity;..;..;..;..;..;..;..;..;..;..;..;24952;26014;29056;28213;26420;23209;23792;18684;21492;21647;21604;20023;20556;23958;27252;27853;28624;30150;29981;30283;29624;30650;31075;31698;32065;32288;34776;38225;38088;37109;37069;41101;41468;42304;42692;44024;45011;46127;43499;43866;44615;46098;52207;56696;64447;73296;75930;81254;86491;..
OECD Americas;Heat;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Total;..;..;..;..;..;..;..;..;..;..;..;17459217;18568589;19457990;19162178;19434366;20308597;20923368;21733265;21611765;20871328;20902076;20541459;20601034;21241892;21438341;21747434;22490814;23551572;23862509;23765202;23422449;23957247;24461452;25384742;25839270;26465898;26991225;27607286;28319073;28813005;28846710;29365795;29876123;30431960;30929774;31131715;31508644;30429293;29209569;30222728;29737037;29558369;30481674;30377937;31273410;31691349;31908446;32510808;32498255;..
OECD Americas;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92341;103389;110906;79555;100740;115809;120866;139034;146069;173967;235973;295415;346061;486370;637004;860763;976109;1042436;1156807;1402369;1550582;1566551;1572608;1684773;1709205;1689395;1692839;..
